id,name,error_tries,discovering_tries,uuid,timestamp,timestamp_s,duration,host,source,current_status,outgoing,incoming,degree,pages
21229,zjctb457mdmxtvtmjttcfi43lbrjqyhj7micy3kzylezr2jcohgq.b32.i2p,1,480,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-10 03:36:17,2019-08-01 05:25:14,31788.95,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
21504,x6qh5wx3ki6leszbfistzfybymnyzxce7usauxqx3hvks6kdm5oq.b32.i2p,1,3,91f2d422-7e07-11e9-8770-080027530170,2019-07-10 20:40:04,2019-08-02 13:27:57,32687.883333333335,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,21
21518,cvbpvzs6ug4u5yoa6r6yfcttsvnasa44caxgy3gru55hhtkspd5a.b32.i2p,1,1,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-10 21:06:20,2019-07-10 21:45:00,38.666666666666664,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,1
21617,ixlcgif4z35risyoymaiuwjzjoz5tftyhujevp6uv7pzrd5ibpka.b32.i2p,1,16,91f2d422-7e07-11e9-8770-080027530170,2019-07-11 02:05:04,2019-08-03 02:34:46,33149.7,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,4
21764,y4g34g33wqbheu5feteihsfz6dig2dnjrdc3rcs3svpdupdcurka.b32.i2p,1,418,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-11 05:21:22,2019-07-30 13:06:57,27825.583333333332,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,5
21812,2yi26fp3ahwiqf6a7pgpu3eqpx47uk7vcgpqfw6nohhbf33tgsoa.b32.i2p,1,5,91f2d422-7e07-11e9-8770-080027530170,2019-07-11 07:35:03,2019-08-02 21:23:21,32508.3,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,264
21876,ttlia6ecurga2tj5ndbmurv2ue4eg56tiwuoyactxlypt7b7cjoq.b32.i2p,1,440,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-11 10:55:09,2019-07-31 16:51:24,29156.25,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,2
22034,hvzhdrlxms2ualor5cn2lxmxrmxfczn7cvulkykwwf263eja3nha.b32.i2p,1,3,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-11 19:35:17,2019-07-11 22:40:25,185.13333333333333,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,1
22040,rgkln4mhdqqjz2t6ibuoskpdlwcc6fjwf3k33jdgmn3qmy4lduea.b32.i2p,1,2,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-11 19:58:36,2019-07-11 21:54:00,115.4,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,13
22128,dfagnqi2bp7jcuykr5uphcly3zfytpq4wvc2e6natrf5xet554aa.b32.i2p,1,59,91f2d422-7e07-11e9-8770-080027530170,2019-07-12 01:55:02,2019-08-04 23:10:33,34395.51666666667,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,23
22254,tv5aglpzyloc3uubcu6vl2nzbfb4n2omapl2cxoebjeua3hgws6a.b32.i2p,1,5,91f2d422-7e07-11e9-8770-080027530170,2019-07-12 03:45:05,2019-08-02 16:11:16,30986.183333333334,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
22372,vukbphfcowvbrci533ubnx7jrpj5xrtya4djitkzxn335bgw2zrq.b32.i2p,1,6,91f2d422-7e07-11e9-8770-080027530170,2019-07-12 10:35:02,2019-08-02 16:31:14,30596.2,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,38
22413,p4ts7qihde35m37rqiqvp6michftwe6hm3fox4mo3qhb3m6hxyvq.b32.i2p,1,389,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-12 12:25:46,2019-07-30 13:01:26,25955.666666666668,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
22427,fmfguwuea7ro7dt2kknhmnunzxhiainvesmlpqf6knro2v52e4tq.b32.i2p,1,1,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-12 13:40:36,2019-07-12 14:42:06,61.5,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,60
22550,mwg5yodojnxwkauyg6yfvow7ljzcrfvymv423qrvoflgfi6ekiza.b32.i2p,1,63,91f2d422-7e07-11e9-8770-080027530170,2019-07-12 23:05:04,2019-08-05 03:29:54,33384.833333333336,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,59
22724,glhzmrsbunue37i2xytvyldis2ouaz7kxkfxucykw2yh5ubz6iwq.b32.i2p,1,5,91f2d422-7e07-11e9-8770-080027530170,2019-07-13 03:55:03,2019-08-02 16:52:02,29576.983333333334,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
22919,a2qqttgpux2aokemxu5xvbi7ncbq7eg4ktja5zvabyf4mwvumdma.b32.i2p,1,34,91f2d422-7e07-11e9-8770-080027530170,2019-07-13 14:10:01,2019-08-03 21:06:23,30656.366666666665,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,1
22993,et3ii6cptklldtx4b7fayg4t6lsv2whqpft4wuqadpffq5gdgyza.b32.i2p,1,9,91f2d422-7e07-11e9-8770-080027530170,2019-07-13 18:15:01,2019-08-02 22:35:54,29060.883333333335,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
23050,3te5c7736wgitdehy7opqwnj2pe2bn77dkyckcm747mz4i2hc7rq.b32.i2p,1,8,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-13 21:50:02,2019-08-02 18:12:57,28582.916666666668,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,2
23073,7bfkujxzo2zfthya45amcnt5hcondxqc7rx2zcrab6fyhgv2ciuq.b32.i2p,2,101,91f2d422-7e07-11e9-8770-080027530170,2019-07-13 23:25:01,2019-08-06 20:05:00,34359.98333333333,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
23143,655xqquy5zuk3lqv64dikhp2yr7syn53yaplr5fmuoflk3tgiqia.b32.i2p,1,10,91f2d422-7e07-11e9-8770-080027530170,2019-07-14 02:05:04,2019-08-02 23:39:48,28654.733333333334,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
