id,outgoing,incoming,degree,pages,site
705,0,0,0,1,42380
706,0,0,0,2,42759
707,10,0,0,31,42728
708,0,0,0,22,43173
709,0,0,0,1,38898
710,0,0,0,28,42923
711,0,0,0,1,43803
712,0,0,0,28,41609
713,0,0,0,1,44004
714,0,0,0,28,41634
715,0,0,0,2,31686
716,0,0,0,1,44278
717,0,0,0,28,43197
718,0,0,0,28,44284
719,0,0,0,28,44242
720,0,0,0,11,44492
721,0,0,0,28,44869
722,0,0,0,61,43692
723,0,0,0,55,44540
724,0,0,0,44,42865
725,0,0,0,1,45218
726,0,0,0,1,45383
727,0,0,0,1,35583
728,0,0,0,26,44442
729,0,0,0,2,45436
730,0,0,0,28,45421
731,0,0,0,19,45614
732,0,0,0,28,45772
733,0,0,0,28,45832
734,0,0,0,70,45776
735,0,0,0,5,40532
736,0,0,0,746,45262
737,0,0,0,28,46237
738,0,0,0,1,46182
739,0,0,0,28,46160
740,13,0,0,33,46355
741,0,0,0,1,46025
742,0,0,0,48,46491
743,0,0,0,28,46608
744,0,0,0,1,46883
745,0,0,0,16,46937
746,0,0,0,28,46923
747,0,0,0,6,46868
748,0,0,0,28,38779
749,0,0,0,1,41243
750,0,0,0,28,34962
751,0,0,0,67,47302
752,0,0,0,172,47268
753,0,0,0,28,39705
754,0,0,0,28,47078
755,0,0,0,28,47308
756,0,0,0,28,35602
757,0,0,0,3,47734
758,0,0,0,10,39601
759,0,0,0,1,47788
760,0,0,0,28,47949
761,0,0,0,1,48053
762,0,0,0,1,48195
763,0,0,0,4,48308
764,0,0,0,28,48296
765,0,0,0,1,44704
766,0,0,0,1,48904
767,0,0,0,1,49073
768,0,0,0,1,49125
769,0,0,0,24,49153
770,0,0,0,28,47841
771,0,0,0,28,49144
772,0,0,0,12,49227
773,0,0,0,10,49361
774,0,0,0,10,49215
775,0,0,0,2,49597
776,13,0,0,26,49627
777,0,0,0,1,49457
778,0,0,0,28,48490
779,0,0,0,28,39714
780,0,0,0,28,39553
781,0,0,0,1,50105
782,0,0,0,3,50212
783,0,0,0,28,40344
784,0,0,0,28,50610
785,10,0,0,19,50321
786,0,0,0,14,50921
787,0,0,0,28,50715
788,0,0,0,3,51237
789,0,0,0,22,50873
790,0,0,0,114,51653
791,13,0,0,29,51817
792,0,0,0,2,51875
793,0,0,0,1,51905
794,0,0,0,1,52129
795,0,0,0,28,52220
796,0,0,0,27,51960
797,0,0,0,147,52436
798,13,0,0,32,52689
799,0,0,0,8,52976
800,0,0,0,240,53005
801,0,0,0,28,53103
802,0,0,0,28,53566
803,13,0,0,23,53894
804,0,0,0,10,50901
805,0,0,0,10,54000
806,0,0,0,28,52459
807,0,0,0,28,54235
808,0,0,0,194,54668
809,13,0,0,28,54818
810,0,0,0,28,54776
811,1,0,0,311,54988
812,38,0,0,110,55020
