Label,Source,Target
1940,501,6666
1941,501,3845
1942,501,3792
1943,501,2192
1944,501,311
1945,501,1805
1946,501,2863
1947,501,678
1948,501,3456
1949,501,484
1950,501,1224
1951,501,2001
1952,501,6667
1953,501,2954
1954,501,2044
1955,501,6668
1956,501,6669
1957,501,6670
1958,501,3476
1959,501,2701
1960,501,6671
1961,501,3477
1962,501,6672
1963,501,6163
1964,501,6673
1965,501,3518
1966,501,1993
1967,501,1660
1968,501,3453
1969,501,1747
1970,501,1445
1971,501,2177
1972,501,1356
1973,501,2221
1974,501,354
1975,501,2298
537,512,586
538,512,644
1672,514,351
594,566,3375
1575,571,2828
1576,571,1430
1577,571,3465
1578,571,3516
1579,571,2652
1580,571,976
1581,571,2574
1582,571,1216
660,712,3465
661,712,134
662,712,486
663,712,1393
664,712,540
665,712,718
666,712,524
667,712,1027
668,712,659
669,712,3620
670,712,1396
671,712,3789
672,712,3518
673,712,1054
674,712,1747
675,712,6161
676,712,1567
677,712,1441
678,712,713
679,712,6162
680,712,3172
681,712,583
682,712,860
683,712,6163
684,712,2192
685,712,6164
686,712,6165
687,712,429
688,712,6166
689,712,6167
690,712,1685
691,712,6168
692,712,6169
693,712,2072
694,712,6170
695,712,3774
696,712,6171
697,712,6172
698,712,2515
699,712,3047
700,712,6173
701,712,976
702,712,3746
703,712,1834
704,712,6174
705,712,592
706,712,6175
707,712,787
708,712,150
709,712,3801
710,712,6176
711,712,425
712,712,6001
713,712,3477
714,712,3484
715,712,3540
716,712,2982
717,712,1660
1976,718,3465
1977,718,501
1978,718,134
1979,718,1685
1980,718,6662
1981,718,1393
1982,718,2119
1983,718,3620
1984,718,2166
1985,718,1396
1986,718,321
1987,718,1027
1988,718,1207
1989,718,712
1990,718,2378
1991,718,583
1992,718,451
1993,718,1567
1994,718,1088
1995,718,3845
1996,718,3718
1997,718,6670
1998,718,6664
1999,718,1840
2000,718,2964
2001,718,6665
2002,718,6666
2003,718,469
2004,718,2982
2005,718,1641
2006,718,1430
2007,718,3792
2008,718,659
2009,718,3259
2010,718,2026
2011,718,1441
2012,718,3693
2013,718,3874
2014,718,3172
2015,718,6660
2016,718,6661
2017,718,2659
2018,718,2553
2019,718,540
2020,718,2965
2021,718,2828
2022,718,571
2023,718,2620
2024,718,1944
2025,718,313
2026,718,812
2027,718,285
2028,718,1624
2029,718,1291
2030,718,1398
2031,718,1575
2032,718,6075
2033,718,1362
2034,718,1380
2035,718,2665
2036,718,6191
2037,718,6132
2038,718,844
2039,718,6614
2040,718,2996
2041,718,6615
2042,718,6616
2043,718,6617
2044,718,6618
2045,718,1471
2046,718,6251
2047,718,2584
2048,718,2884
2049,718,2630
2050,718,869
2051,718,244
2052,718,2124
2053,718,2734
2054,718,3269
2055,718,2498
2056,718,98
2057,718,2282
2058,718,6619
2059,718,6620
2060,718,767
2061,718,2101
2062,718,6166
2063,718,3585
2064,718,2009
2065,718,2922
2066,718,1216
2067,718,228
2068,718,437
2069,718,471
2070,718,413
2071,718,409
2072,718,3774
2073,718,2068
2074,718,6028
2075,718,3463
2076,718,6621
2077,718,976
2078,718,1771
2079,718,3025
2080,718,2349
2081,718,787
2082,718,2448
2083,718,3198
2084,718,6622
2085,718,2216
2086,718,1041
